income,shocks,health_access,asset_index,education_level,high_vulnerability
2914.03,3,0.01,0.84,1,1
1718.26,5,0.09,0.84,1,1
2505.86,0,0.65,0.05,2,0
3110.47,3,0.83,0.75,0,1
1332.45,4,0.92,0.6,1,0
3918.29,5,0.03,0.74,0,0
1155.23,0,0.56,0.4,3,0
1719.08,4,0.43,0.91,4,1
3543.07,1,0.85,0.01,4,1
2835.22,5,0.92,0.92,4,0
3314.7,0,0.1,0.88,0,1
2355.1,2,0.71,0.44,3,1
1356.26,2,0.75,0.56,3,1
1713.75,5,0.14,0.05,4,1
1139.56,0,0.48,0.01,1,1
3657.99,2,0.12,0.5,4,1
1730.38,4,0.75,0.85,1,1
2647.49,4,0.21,0.79,3,0
923.81,5,0.04,0.28,4,0
3660.76,4,0.97,0.15,0,0
3149.06,2,0.21,0.19,0,1
3595.94,2,0.98,0.7,0,1
1766.63,3,0.66,0.54,1,0
1691.81,0,0.79,0.09,3,0
3549.41,5,0.66,0.42,1,0
550.2,2,0.2,0.48,3,0
1583.0,0,0.7,0.65,1,0
2759.95,1,0.83,0.31,2,1
3768.31,4,0.69,0.69,2,1
1223.39,0,0.59,0.86,4,0
3474.45,0,0.7,0.95,3,1
2682.92,0,0.73,0.39,2,0
2605.46,1,0.52,0.66,1,1
1778.51,1,0.02,0.24,2,1
2954.02,5,0.98,1.0,2,1
698.95,1,0.36,0.54,4,1
1910.11,5,0.23,0.36,4,0
3379.41,5,0.4,0.81,0,0
2223.08,5,0.01,0.98,2,0
2020.15,4,0.8,0.3,0,1
1975.13,5,1.0,0.92,3,0
1894.69,3,0.54,0.15,1,0
2518.23,0,0.08,0.41,1,1
2948.23,5,0.11,0.32,1,1
1712.98,5,0.48,0.23,3,1
3757.07,1,0.76,0.01,1,1
1317.93,5,0.11,0.96,1,0
2183.46,4,0.86,0.83,1,1
1995.45,4,0.65,0.04,0,0
944.69,2,0.85,0.44,3,0
3411.03,2,0.77,0.45,2,0
1879.14,0,0.02,0.61,1,0
1459.79,2,0.58,0.51,0,0
